,Datetime,Tags,Like_Count,Location,User_Name,URL
0,2019년 12월 22일,"['#부산', '#서울', '#친구', '#밥', '#스타벅스', '#케이크', '#크레이프', '#치즈케이크', '#레드벨벳', '#크림치즈', '#엽떡', '#엽기떡볶이', '#유가네', '#닭갈비', '#치즈', '#존맛탱', '#jmt', '#배고파', '#아이폰', '#사진', '#xr', '#06', '#선팔', '#맞팔', '#fff', '#followforfollowback', '#맛있다', '#tasty', '#friends', '#집']",25,"Busan, South Korea",_ye._.yomi_,https://www.instagram.com/p/B6W9LyMhTjB/
1,2019년 12월 29일,"['#카페', '#카페그램', '#카페투어', '#카페추천', '#신상카페', '#감성카페', '#분위기좋은카페', '#카페사진', '#감성사진', '#햇살맛집', '#디저트', '#디저트카페', '#디저트맛집', '#딸기한상', '#딸기', '#딸기케이크', '#딸기디저트', '#치즈케이크', '#커피맛집', '#핸드드립', '#카페라떼', '#플랫화이트', '#부산카페', '#서면카페', '#전포동카페', '#전리단길카페', '#전포카페', '#전포카페거리', '#전포동카페거리', '#향미공간']",56,향미공간:香味空間,flavor_space,https://www.instagram.com/p/B6pC7XtJ-s7/
2,2019년 12월 22일,"['#익스큐즈미', '#익스큐즈미카페', '#카페투어', '#카페', '#카페스타그램', '#서울', '#마곡', '#마곡카페', '#마곡나루역카페', '#우정스타그램', '#셀카그램', '#셀스타그램', '#셀카어플', '#셀피', '#주말', '#일상', '#소통', '#좋아요반사', '#치즈케이크', '#뜨아', '#디저트그램', '#excusemecafe', '#광화문살롱', '#cafe', '#americano', '#cheesecake', '#seoul', '#selfie', '#selca', '#selstagram']",33,마곡지구,borami_ing,https://www.instagram.com/p/B6V3bf5gQyF/
3,2019년 12월 19일,"['#아인슈페너', '#연유카페라떼', '#치즈케이크', '#우리동네카페', '#까치산역카페', '#커피수혈']",13,"Seoul, Korea",revi_ewfood,https://www.instagram.com/p/B6PRZImh242/
4,2019년 12월 29일,"['#디저트', '#치즈케이크', '#바닐라', '#뜨아', '#더벤티']",7,The venti 면목점,kyong_jin_life_record,https://www.instagram.com/p/B6n1h6Fpnrx/
5,2019년 12월 23일,"['#홍대', '#홍대카페', '#먹스타그램', '#디저트그램', '#치즈케이크']",21,C27 cheesecake&coffee,88.10.21,https://www.instagram.com/p/B6aoUK4BpQV/
6,2019년 12월 29일,"['#shibuya', '#치즈케이크', '#일본']",87,CCC Cheese Cheers Cafe Shibuya,non1101.___,https://www.instagram.com/p/B6p6mZLnxUg/
7,2019년 12월 29일,['#어나더룸'],96,Another Room,snjlee_,https://www.instagram.com/p/B6pxwzonI0p/
8,2019년 12월 29일,[],58,"Goodgoodweather,굿굿웨더",goodgoodweather,https://www.instagram.com/p/B6pEirIJhJS/
9,2019년 12월 27일,"['#스템스커피', '#stemscoffee', '#듁스커피', '#dukescoffee', '#스페셜티커피', '#디저트', '#에그타르트', '#치즈케이크', '#무스', '#딸기케이크', '#딸기무스', '#딸기디저트', '#바닐라빈치즈무스', '#에그타르트', '#김해카페', '#장유카페', '#대구카페', '#부산카페', '#창원카페', '#김해여행', '#김해', '#수로왕릉', '#돌담길']",43,Stemscoffee,stemscoffee,https://www.instagram.com/p/B6j2lCfhZNC/
